"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2020-09-22","84.8","-1.23","6.12","DJ LeMahieu",518934,543699,"field_out","hit_into_play",,,,,"8","DJ LeMahieu flies out to center fielder Jonathan Davis.  ","R","R","R","TOR","NYY","X",8,"fly_ball",2,1,2020,"0.3","0.8","-0.23","2.02","null","null","null",1,3,"Top","110.15","52.70",,,"672386",,"null",1.7752647523391423,-123.5923584990788,-4.918486439523086,2.5041112836326143,20.529709306713585,-23.193366129997923,"3.36","1.61","386","98.4","24","84.5","2173","5.7",630881,543699,"672386","665489","605412","624415","666182","666971","641505","606192","54.83","0.407","0.486","0.00",1,0,0,5,16,"4","Slider",0,2,2,0,2,0,2,0,"Standard","Strategic"
"SL","2020-09-22","87.8","-0.88","6.09","DJ LeMahieu",518934,543699,"field_out","hit_into_play",,,,,"9","DJ LeMahieu grounds out, second baseman Joe Panik to first baseman Vladimir Guerrero Jr. ","R","R","R","TOR","NYY","X",4,"ground_ball",1,1,2020,"0.4","1.1","0.73","1.77","null","null","null",0,1,"Top","128.13","193.16",,,"672386",,"null",3.1138521435468545,-127.86146946380782,-6.5657068818286515,3.416556613604561,24.472584448411673,-19.278712008872372,"3.36","1.61","26","63.7","0","87.4","2249","5.8",630881,543699,"672386","665489","605412","624415","666182","666971","641505","606192","54.67","0.136","0.122","0.00",1,0,0,2,1,"3","Slider",0,0,0,0,0,0,0,0,"Strategic","Standard"
"CU","2020-09-21","84.4","-1.48","6.50","DJ LeMahieu",518934,641907,"single","hit_into_play_no_out",,,,,"8","DJ LeMahieu singles on a sharp line drive to center fielder Randal Grichuk.  ","R","R","R","TOR","NYY","X",8,"line_drive",1,2,2020,"0.7","-1.2","0.01","1.81","null","null","null",0,8,"Top","150.91","83.55",,,"672386",,"null",2.0765400371749263,-122.8270697882286,-2.0929327818702492,6.370064680023652,28.95474763097138,-43.64099313400941,"3.36","1.61","229","104.5","13","83.2","2353","5.9",630876,641907,"672386","665489","542340","624415","666182","641505","545341","606192","54.61","0.879","0.791","0.90",1,1,0,4,66,"4","Curveball",11,2,2,11,2,11,2,11,"Standard","Strategic"
"SI","2020-09-21","94.6","-2.07","6.40","DJ LeMahieu",518934,643615,"field_out","hit_into_play",,,,,"4","DJ LeMahieu grounds out sharply, second baseman Jonathan Villar to first baseman Vladimir Guerrero Jr. ","R","R","R","TOR","NYY","X",4,"ground_ball",1,2,2020,"-1.4","0.7","-0.56","2.22","null","null","null",2,5,"Top","149.40","134.35",,,"672386",,"null",6.9785083701850805,-137.44102074063684,-6.718807593183191,-19.028066722197273,31.98331555447733,-21.960704244312602,"3.36","1.61","57","104.1","1","94.0","2187","6.1",630876,643615,"672386","665489","542340","624415","666182","641505","545341","606192","54.37","0.443","0.399","0.00",1,0,0,4,44,"4","Sinker",9,1,1,9,1,9,1,9,"Standard","Standard"
"SI","2020-09-21","93.1","-1.83","6.35","DJ LeMahieu",518934,533167,"single","hit_into_play_no_out",,,,,"2","DJ LeMahieu singles on a sharp ground ball to right fielder Teoscar Hernandez.  ","R","R","R","TOR","NYY","X",9,"ground_ball",1,1,2020,"-1.2","1.0","-0.20","3.21","null","null","null",1,3,"Top","167.62","126.06",,,"672386",,"null",6.7676839919054945,-135.38496672211858,-4.554707511101698,-15.982788021664165,28.03164516440047,-18.703314913345736,"3.36","1.61","142","102.9","6","93.1","2172","6.2",630876,533167,"672386","665489","542340","624415","666182","641505","545341","606192","54.27","0.621","0.559","0.90",1,1,0,4,17,"3","Sinker",0,1,1,0,1,0,1,0,"Standard","Standard"
"FF","2020-09-21","93.4","-1.76","6.37","DJ LeMahieu",518934,533167,"field_out","hit_into_play",,,,,"5","DJ LeMahieu lines out sharply to right fielder Teoscar Hernandez.  ","R","R","R","TOR","NYY","X",9,"line_drive",0,0,2020,"-0.7","1.3","-0.17","2.63","null","null","null",0,1,"Top","191.04","88.74",,,"672386",,"null",5.688816873781096,-135.8923706413873,-6.7880198212734335,-10.279825335718058,28.10153887848067,-14.558699816634004,"3.36","1.61","304","104.1","17","93.4","2186","6.2",630876,533167,"672386","665489","542340","624415","666182","641505","545341","606192","54.35","0.564","0.589","0.00",1,0,0,5,1,"1","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"SI","2020-09-20","90.6","-2.89","5.50","DJ LeMahieu",518934,656557,"field_out","hit_into_play",,,,,"7","DJ LeMahieu grounds out, third baseman Rafael Devers to first baseman Bobby Dalbec.  ","R","R","R","BOS","NYY","X",5,"ground_ball",1,1,2020,"-1.2","-0.1","-0.31","1.72","null","null",642180,2,3,"Top","109.03","178.39",,,"543877",,"null",9.117493078030988,-131.5768202011989,-3.3508064162728237,-16.292874997935307,27.456126944253285,-32.471601054721155,"3.36","1.61","3","79.0","-47","91.0","2206","6.6",631635,656557,"543877","666915","624407","646240","660620","656308","598265","527049","53.92","0.114","0.103","0.00",1,0,0,2,20,"3","Sinker",2,0,0,2,0,2,0,2,"Standard","Standard"
"FF","2020-09-20","91.6","-3.04","5.38","DJ LeMahieu",518934,656557,"field_out","hit_into_play",,,,,"2","DJ LeMahieu lines out sharply to right fielder Cesar Puello.  ","R","R","R","BOS","NYY","X",9,"line_drive",1,0,2020,"-0.5","0.7","0.11","2.97","null","null","null",0,1,"Top","192.60","89.88",,,"543877",,"null",9.067847073001762,-133.08089339182837,-1.7624708644213993,-8.124347330274883,30.528051338914434,-23.169496570383604,"3.36","1.61","303","101.8","20","91.6","1986","6.5",631635,656557,"543877","666915","624407","646240","660620","656308","598265","527049","53.98","0.550","0.634","0.00",1,0,0,5,1,"2","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Strategic"
"FF","2020-09-19","97.8","-1.95","5.63","DJ LeMahieu",518934,476594,"field_out","hit_into_play",,,,,"7","DJ LeMahieu grounds out, second baseman Jonathan Arauz to first baseman Bobby Dalbec.  ","R","R","R","BOS","NYY","X",4,"ground_ball",1,1,2020,"-1.3","1.0","-0.30","2.08","null","null",642180,2,8,"Top","137.40","128.50",,,"608700",,"null",7.439105178417924,-142.0730626299121,-6.405713617881257,-19.250912873193712,32.93150087766834,-16.927072931470637,"3.36","1.61","6","95.2","-19","97.6","2285","6.3",631628,476594,"608700","666915","660620","646240","593428","656308","598265","527049","54.19","0.164","0.152","0.00",1,0,0,2,61,"3","4-Seam Fastball",0,7,7,0,7,0,7,0,"Standard","Standard"
"FF","2020-09-19","91.7","-1.93","6.35","DJ LeMahieu",518934,592229,"single","hit_into_play_no_out",,,,,"5","DJ LeMahieu singles on a sharp line drive to third baseman Rafael Devers, deflected by pitcher Dylan Covey.  ","R","R","R","BOS","NYY","X",1,"line_drive",0,1,2020,"-0.3","0.8","0.08","2.20","null","null","null",2,6,"Top","127.99","163.45",,,"608700",,"null",5.773152990490354,-133.29228575635034,-6.4037102043452645,-5.326695468114635,28.651797614202998,-20.942100618059367,"3.36","1.61","94","103.4","4","91.2","2009","6.0",631628,592229,"608700","666915","660620","646240","593428","656308","598265","527049","54.45","0.571","0.514","0.90",1,1,0,4,45,"2","4-Seam Fastball",0,7,7,0,7,0,7,0,"Standard","Strategic"
